Train Loss,epoch,step,Val Loss,Val Acc,Test Precision,Test Recall,Test F1,Test Loss,Test Acc,Model Type,Output Layer Type,Number of Layers,Hidden Size
0.7186485528945923,0,49,,,,,,,,RNN,linear,1,100
0.662648618221283,0,99,,,,,,,,RNN,linear,1,100
0.6692257523536682,0,149,,,,,,,,RNN,linear,1,100
0.703799307346344,0,199,,,,,,,,RNN,linear,1,100
0.7221997976303101,0,249,,,,,,,,RNN,linear,1,100
0.6446323990821838,0,299,,,,,,,,RNN,linear,1,100
0.6697789430618286,0,349,,,,,,,,RNN,linear,1,100
0.6169363260269165,0,399,,,,,,,,RNN,linear,1,100
0.6871487498283386,0,449,,,,,,,,RNN,linear,1,100
0.7072571516036987,0,499,,,,,,,,RNN,linear,1,100
0.6827214956283569,0,549,,,,,,,,RNN,linear,1,100
0.7618456482887268,0,599,,,,,,,,RNN,linear,1,100
0.6555212140083313,0,649,,,,,,,,RNN,linear,1,100
0.6627090573310852,0,699,,,,,,,,RNN,linear,1,100
,0,703,0.678709864616394,0.5723999738693237,,,,,,RNN,linear,1,100
0.6512592434883118,1,749,,,,,,,,RNN,linear,1,100
0.6881752610206604,1,799,,,,,,,,RNN,linear,1,100
0.7074935436248779,1,849,,,,,,,,RNN,linear,1,100
0.610837459564209,1,899,,,,,,,,RNN,linear,1,100
0.693074643611908,1,949,,,,,,,,RNN,linear,1,100
0.6669133305549622,1,999,,,,,,,,RNN,linear,1,100
0.5829430818557739,1,1049,,,,,,,,RNN,linear,1,100
0.6465053558349609,1,1099,,,,,,,,RNN,linear,1,100
0.6500095129013062,1,1149,,,,,,,,RNN,linear,1,100
0.605129063129425,1,1199,,,,,,,,RNN,linear,1,100
0.9264031052589417,1,1249,,,,,,,,RNN,linear,1,100
0.5753855109214783,1,1299,,,,,,,,RNN,linear,1,100
0.7982197403907776,1,1349,,,,,,,,RNN,linear,1,100
0.6602203249931335,1,1399,,,,,,,,RNN,linear,1,100
,1,1407,0.6598209738731384,0.5879999995231628,,,,,,RNN,linear,1,100
0.6876929998397827,2,1449,,,,,,,,RNN,linear,1,100
0.6492815017700195,2,1499,,,,,,,,RNN,linear,1,100
0.7064867615699768,2,1549,,,,,,,,RNN,linear,1,100
0.5883408188819885,2,1599,,,,,,,,RNN,linear,1,100
0.6331576108932495,2,1649,,,,,,,,RNN,linear,1,100
0.6218781471252441,2,1699,,,,,,,,RNN,linear,1,100
0.6745820641517639,2,1749,,,,,,,,RNN,linear,1,100
0.6608878970146179,2,1799,,,,,,,,RNN,linear,1,100
0.5467501282691956,2,1849,,,,,,,,RNN,linear,1,100
0.6254144906997681,2,1899,,,,,,,,RNN,linear,1,100
0.7189376354217529,2,1949,,,,,,,,RNN,linear,1,100
0.5161845088005066,2,1999,,,,,,,,RNN,linear,1,100
0.8575151562690735,2,2049,,,,,,,,RNN,linear,1,100
0.5840449929237366,2,2099,,,,,,,,RNN,linear,1,100
,2,2111,0.6503592729568481,0.6195999979972839,,,,,,RNN,linear,1,100
0.6746149659156799,3,2149,,,,,,,,RNN,linear,1,100
0.5688204169273376,3,2199,,,,,,,,RNN,linear,1,100
0.5258342623710632,3,2249,,,,,,,,RNN,linear,1,100
0.7731205821037292,3,2299,,,,,,,,RNN,linear,1,100
0.6469985246658325,3,2349,,,,,,,,RNN,linear,1,100
0.6467514038085938,3,2399,,,,,,,,RNN,linear,1,100
